locationDbId,altern,local,cont,creg,adm3,adm2,adm1,annualTotalPrecipitation,annualMeanTemperature
1,NA,San Ramon,South America,LAC,San Ramon,Chanchamayo,Junin,360,23
3,NA,NA,NA,NA,NA,NA,NA,6.4,19.2
4,NA,Gurue,Africa,SSA,Gurue,Gurue,Zambezia,NA,NA
5,NA,Umbeluzi,Africa,SSA,Umbeluzi,Boane,Maputo,NA,NA
6,MARANK,San Miguel Centro Marankiari,South America,LAC,Perené,Chanchamayo,Junin,NA,NA
7,SHIRANI,Shirani,South America,LAC,Pichanaki,Chanchamayo,Junin,NA,NA
8,BETALT,Betania,South America,LAC,Rio Tambo,Satipo,Junin,NA,NA
9,BETBAJ,Betania,South America,LAC,Rio Tambo,Satipo,Junin,NA,NA
10,OVIRI,Nuevaluz Oviri,South America,LAC,Rio Tambo,Satipo,Junin,NA,NA
11,PTOCOPA,Puerto Ocopa,South America,LAC,Rio Tambo,Satipo,Junin,NA,NA
12,SNPEDRO,San Pedro,South America,LAC,Coviriali,Satipo,Junin,NA,NA
13,NA,Fumesua,Africa,SSA,NA,Ejisu-Juaben,Ashanti,NA,NA
14,NA,Komenda,Africa,SSA,NA,NA,Central,NA,NA
15,NA,Tono dam,Africa,SSA,NA,Kassena-Nankana,Upper East,NA,NA
16,NA,NaCRRI,Africa,SSA,NA,NA,NA,NA,NA
17,NA,NaSARRI,Africa,SSA,NA,NA,Serere,NA,NA
